ingredient_key,what_is_it,why_used,fun_fact,risk_label_human,health_impact_human,risk_label_dog,health_impact_dog,risk_label_cat,health_impact_cat,source
lecithins,"A group of ingredients that help oil and water stay mixed instead of separating.","They make food smoother, creamier, and more stable.","Lecithins are often used in chocolate, spreads, and creamy sauces.","caution","Usually fine in small amounts, but they still signal a more processed product.","safe","Usually okay for dogs in small amounts and commonly used to keep texture smooth.","safe","Usually okay for cats in small amounts and mainly used for texture, not nutrition.","HealthyWhooo profile v1"
oat_lecithin,"A plant-based emulsifier made from oats that helps different ingredients blend together.","It keeps products smooth and helps fat and water mix more evenly.","It is often seen as a plant-based alternative to soy lecithin.","caution","Generally low concern for people, but it is still part of processed food.","safe","Usually okay for dogs in small amounts and mostly used to improve texture.","safe","Usually okay for cats in small amounts and mainly helps keep food evenly mixed.","HealthyWhooo profile v1"
citric_acid,"A sour ingredient found naturally in citrus fruits and also made for food use.","It adds a tangy taste and helps keep food fresh for longer.","It is one of the most common additives in drinks, sweets, and sauces.","safe","Generally considered safe for most people and widely used in everyday foods.","safe","Usually safe for dogs in small food amounts, though very sour products may upset sensitive stomachs.","safe","Usually safe for cats in small food amounts, but it is not something they need in large amounts.","HealthyWhooo profile v1"
carrageenan,"A thickener from red seaweed that helps food stay smooth and creamy.","It improves texture and stops ingredients from separating.","Seaweed-based thickeners have been used in cooking for a very long time.","caution","Some people are okay with it, but others prefer to limit it because it is debated in digestion-related discussions.","caution","Often used in pet food and usually tolerated, but some dogs with sensitive stomachs may do better with less of it.","caution","Often used in pet food, but some cats with sensitive digestion may not tolerate it well.","HealthyWhooo profile v1"
guar_gum,"A thickener made from guar beans that helps food feel smooth and evenly mixed.","It improves texture and helps sauces, desserts, and spreads stay consistent.","Even a small amount can make a product feel much thicker.","caution","Usually tolerated well, but many people prefer fewer gums in highly processed foods.","safe","Usually okay for dogs in small amounts and commonly used to help texture.","safe","Usually okay for cats in small amounts, though too much may be harder on sensitive digestion.","HealthyWhooo profile v1"
chocolate,"A sweet ingredient made from cocoa beans, often mixed with sugar and milk.","It is used for its rich flavor, creamy texture, and comforting taste.","Chocolate was once so valuable that cocoa beans were used like money in ancient cultures.","caution","Usually fine for people in moderate amounts, especially darker chocolate, but too much can mean lots of sugar and calories.","avoid","Dangerous for dogs because it contains theobromine, which their bodies process very slowly.","avoid","Also unsafe for cats because compounds in chocolate can affect the nervous system and heart.","HealthyWhooo profile v1"
onion,"A sharp-tasting vegetable that adds depth and strong flavor to food.","It is used to make meals smell richer and taste more savory.","Cutting onions makes your eyes water because they release a gas that turns into a mild acid in your eyes.","safe","Fine for most people and even linked to helpful plant compounds when eaten in normal amounts.","avoid","Unsafe for dogs because it can damage red blood cells and cause serious illness.","avoid","Toxic for cats, and even small amounts can be harmful.","HealthyWhooo profile v1"
xylitol,"A sugar substitute that tastes sweet but has fewer calories than regular sugar.","It is used to sweeten products like chewing gum, candy, and some low-sugar foods.","Xylitol may sound like a lab chemical, but it can also be found naturally in tiny amounts in some fruits and vegetables.","safe","Generally safe for humans in normal food amounts, though too much may upset the stomach.","avoid","Very dangerous for dogs because it can cause a rapid insulin spike, low blood sugar, and even liver failure.","caution","Not known to be as dangerous for cats as for dogs, but it should still be avoided because it offers no benefit and may cause stomach upset.","HealthyWhooo profile v1"
carmine,"A red food coloring made from crushed cochineal insects.","It is used to give foods and drinks a bright pink or red color.","Yes, this color really can come from insects — which makes it one of the most surprising ingredients on many labels.","safe","Approved for human use, but some people avoid it for ethical, dietary, or allergy reasons.","safe","Usually not considered harmful to dogs in the small amounts used as coloring, but it adds color, not value.","safe","Usually not considered harmful to cats in very small food-coloring amounts, but it has no nutritional benefit.","HealthyWhooo profile v1"
lecithins,"A group of ingredients that help oil and water stay mixed instead of separating.","They are used to keep food smooth, creamy, and stable.","Lecithins are the quiet teamwork ingredient behind many chocolates, spreads, and creamy products.","caution","Usually fine in small amounts, but they still signal a more processed product.","safe","Usually okay for dogs in small food amounts and mainly used for texture.","safe","Usually okay for cats in small food amounts and mostly included to keep texture consistent.","HealthyWhooo profile v1"
